symbol,layer,entry_date,entry,exit_date,exit,ret,days,spy_ret,excess,open
MYRG,grid,2024-11-05,138.28,2025-02-13,134.11,-0.030156191826417933,100,0.0608326141335338,-0.09098880595995174,False
MOD,cooling,2024-03-20,99.0,2025-01-27,97.49,-0.015252546830610836,313,0.16273054220210592,-0.17798308903271676,False
MOD,cooling,2025-07-28,105.51,2026-01-07,119.68,0.13430004627096448,163,0.08885466386118934,0.04544538240977514,False
FIX,cooling,2024-03-20,312.1,2025-02-20,380.43,0.21894705634506706,337,0.18408913457634535,0.03485792176872171,False
SPXC,cooling,2024-03-20,118.59,2024-12-18,145.21,0.22447096043522863,273,0.1335220434021147,0.09094891703311392,False
SPXC,cooling,2025-02-10,154.22,2025-02-12,150.32,-0.025288509049504637,2,-0.0024634109811639826,-0.022825098068340655,False
SPXC,cooling,2025-05-07,150.53,2025-05-08,149.36,-0.00777252493478553,1,0.006967790512363292,-0.014740315447148822,False
SPXC,cooling,2025-05-12,154.23,2025-05-22,149.83,-0.028528781808808135,10,0.00017175922533407828,-0.028700541034142213,False
SPXC,cooling,2025-05-27,153.9,2026-03-20,186.77,0.21358032280420658,297,0.10970974132148581,0.10387058148272077,False
SPXC,cooling,2026-04-09,215.54,2026-05-04,201.12,-0.06690172876549427,25,0.056036884478814164,-0.12293861324430844,False
SPXC,cooling,2026-05-06,212.74,2026-05-08,202.84,-0.04653571918607269,2,0.005164653855907586,-0.051700373041980274,False
MU,memory,2024-03-20,95.49,2024-08-02,92.13,-0.03511023413427783,135,0.02716584143549383,-0.06227607556977166,False
MU,memory,2024-09-26,109.21,2024-09-30,103.08,-0.0561520652658376,4,0.002551162754847569,-0.05870322802068517,False
MU,memory,2024-10-11,106.39,2024-10-15,103.8,-0.024317259229437282,4,0.0003451727589658393,-0.024662431988403122,False
MU,memory,2024-10-16,108.7,2024-10-23,104.53,-0.03835585381654982,7,-0.00740169957840231,-0.030954154238147513,False
